Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	AWS-Z-010536		1	ADJUSTABLE CONVEYOR BAG KICKER	PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-010536	Default		84.8	16/09/2021							-	
1.1	  AWS-B-010567		1	PAINTED CONVEYOR KICKER FRAME	PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-B-010567	Default		58.3	16/09/2021							-	
1.1.1	    AWS-B-010569		1	CONVEYOR KICKER FRAME	PER BOM	NATURAL			WELDING			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-B-010569	Default		58.3	16/09/2021							-	
1.1.1.1	      AWS-A-010568		1	CONV LIFTING PLATE	MS - GR250	NATURAL			LASERCUT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010568	Default<As Machined>		4.4	16/09/2021						12	-	
1.1.1.1.1	        		1	Sheet	MS - GR250												Default<As Machined>		4.4							12		
1.1.1.2	      AWS-A-010570		2	CONVEYOR KICKER MAIN RIB	MS - GR250	NATURAL			LASERCUT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010570	Default<As Machined>		19.9	16/09/2021						10	-	
1.1.1.2.1	        		1	Sheet	MS - GR250												Default<As Machined>		19.9							10		
1.1.1.3	      AWS-A-010571		1	KICKER PE PLATE	MS - GR250	NATURAL			CUTTING			FQ		False	C:\AWS PDM\AWS\007000-014000\	AWS-A-010571	Default<As Machined>		1.4	16/09/2021						12	-	
1.1.1.3.1	        		1	40x6 FL	BHP - 300 PLUS												Default<As Machined>		1.4									
1.1.1.4	      AWS-A-010572		1	CONV KICKER CYL PLATE	MS - GR250	NATURAL			LASERCUT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010572	Default<As Machined>		0.7	16/09/2021						10	-	
1.1.1.4.1	        		1	Sheet	MS - GR250												Default<As Machined>		0.7							10		
1.1.1.5	      AWS-A-010573		2	CONV KICKER BEARING REINF PLATE	MS - GR250	NATURAL			LASERCUT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010573	Default<As Machined>		0.7	16/09/2021						6	-	
1.1.1.5.1	        		1	Sheet	MS - GR250												Default<As Machined>		0.7							6		
1.1.1.6	      AWS-A-010574		1	CONV KICKER TOP REINF PLATE	MS - GR250	NATURAL			LASERCUT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010574	Default<As Machined>		6.2	16/09/2021						6	-	
1.1.1.6.1	        		1	Sheet	MS - GR250												Default<As Machined>		6.2							6		
1.1.1.7	      AWS-A-010575		1	CONV KICKER BEARING BEAM	MS - GR250	NATURAL			CUTTING			FQ		False	C:\AWS PDM\AWS\007000-014000\	AWS-A-010575	Default<As Machined>		2.3	16/09/2021						12	-	
1.1.1.7.1	        		1	40x40x4 SHS	AS 1163-C350LO												Default<As Machined>		2.3									
1.1.1.8	      AWS-A-010576		2	CONV KICKER BEARING PAD	MS - GR250	NATURAL			LASERCUT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010576	Default		1.0	16/09/2021						12	-	
1.1.1.8.1	        		1	Sheet	MS - GR250												Default		1.0							12		
1.1.1.9	      AS 1112.1 S1 - M12-D-NMS		1	M12 HEX NUT ZINC	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M12-D-NMS		0.017			Costless Bolts						
1.2	  AWS-A-003734	1	2	KICKER PIVOT PIN	SS304	NATURAL			MACHINE			MF	CL		C:\AWS PDM\AWS\	AWS-A-003734	Default		0.5	25/02/2020								
1.3	  AWS-B-008146	1	1	BAG KICKER BLADE  - PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			CL	DG		C:\AWS PDM\AWS\007000-014000\	AWS-B-008146	Default		19.0	04/04/2021							-	
1.3.1	    AWS-B-008147	1	1	BAG KICKER BLADE WELDMENT	AS PER BOM	NATURAL			WELDING			CL	DG		C:\AWS PDM\AWS\007000-014000\	AWS-B-008147	Default		19.0	04/04/2021							-	
1.3.1.1	      AWS-A-008148	1	2	KICKER BLADE SIDE	MS	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008148	Default		4.4	04/04/2021						5	-	
1.3.1.1.1	        		1	Sheet	MS												Default		4.4							5		
1.3.1.2	      AWS-A-002732	1	1	KICKER BLADE CROSS PLATE	MS	NATURAL			LASERCUT	FOLDING		MF	CL		C:\AWS PDM\AWS\	AWS-A-002732	Default		1.3	25/02/2020						3	-	
1.3.1.2.1	        		1	Sheet	MS												Default		1.3							3		
1.3.1.3	      AWS-A-008149	1	1	KICKER BLADE CROSS PLATE & CYLINDER PAD	MS	NATURAL			LASERCUT	FOLDING		CL	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008149	Default		1.7	04/04/2021						5	-	
1.3.1.3.1	        		1	Sheet	MS												Default		1.7							5		
1.3.1.4	      AWS-A-008150	1	1	KICKER BLADE GUSSET	MS	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008150	Default		0.2	04/04/2021						5	-	
1.3.1.4.1	        		1	Sheet	MS												Default		0.2							5		
1.3.1.5	      AWS-A-008151	1	1	KICKER PLATE	MS	NATURAL			LASERCUT	FOLDING		CL	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008151	Default		7.1	04/04/2021						3	-	
1.3.1.5.1	        		1	Sheet	MS												Default		7.1							3		
1.3.1.6	      DIN 929-M8-NMS		4	M8 WELDNUT	Mild Steel	NATURAL			Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\weld nuts\	weld nut 01_1_din	DIN 929-M8-NMS		0.0			Costless Bolts						
1.4	  OEM-UCP206	-	2	BEARING UNIT UCP206	REFER DATA SHEET	NATURAL			PURCHASE			MF			C:\AWS PDM\OEM\1051. Transmission\	OEM-UCP	OEM-UCP206		0.2492	23/04/2019	http://bearingwholesalers.com.au/product-listing/	BEARING WHOLESALERS		1051	Transmission		-	UCP
1.5	  AWS-Z-010255		1	63 125 CYL BRACKET, REEDS AND FLOW CONTROL	PER BOM	NATURAL			ASSEMBLY						C:\AWS PDM\AWS\007000-014000\	AWS-Z-010255	Default		0.7	24/08/2021							-	
1.5.1	    OEM-CDG1TA63-125Z-NW-M9BZ		1	63 BORE 125 STROKE CYL WITH BRACKET AND REEDS	PER DATASHEET	ZINC			PURCHASE			FQ			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-CDG1TA63-125Z-NW-M9BZ	Default	SMC	0.7	24/08/2021			W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\CDG1TA63-125Z-NW-M9BZ.pdf	1038	Pneumatics		YES	CDG1TA63-125Z-NW-M9BZ
1.5.1.1	      CDG1TA63_125Z_NW_M9BZ_0_1_0__3		2												T:\Project\Cryer Malt\J200684 Semi Auto Bagging Line\6. Pneumatics\DOWNLOADS FROM SMC\CDG1TA63-125Z-NW-M9BZ\	CDG1TA63_125Z_NW_M9BZ_0_1_0__3	Default											
