Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	AWS-Z-011064	1	1	PALLET TROLLEY	Material <not specified>	NATURAL			ASSEMBLY						C:\AWS PDM\AWS\007000-014000\	AWS-Z-011064	Default		106.9	26/10/2021							-	
1.1	  AWS-B-011053	1	1	PALLET BODY PAINTED	AS PER BOM	POWDERCOAT		SAFETY YELLOW - GLOSS: 241,190,36	PAINT			FQ	FQ		C:\AWS PDM\AWS\007000-014000\	AWS-B-011053	Default		47.4	26/10/2021							-	
1.1.1	    AWS-B-011051	1	1	PALLET TROLLEY BODY	AS PER BOM	NATURAL			WELDING			FQ	 		C:\AWS PDM\AWS\007000-014000\	AWS-B-011051	Default		47.4	26/10/2021							-	
1.1.1.1	      AWS-B-011048	1	1	TROLLEY FRAME	MS - GR250	NATURAL			CUTTING	WELDING		FQ	FQ		C:\AWS PDM\AWS\007000-014000\	AWS-B-011048	Default<As Machined>		41.2	26/10/2021							-	
1.1.1.1.1	        		8	40x40x2 SHS	AS 1163-C350LO												Default<As Machined>		2.6									
1.1.1.1.2	        		4	40x40x4 SHS	AS 1163-C350LO												Default<As Machined>		1.9									
1.1.1.1.3	        		4	DIA 20 RB	BHP - 300 PLUS												Default<As Machined>		0.7									
1.1.1.1.4	        		4	40x40x2 SHS	AS 1163-C350LO												Default<As Machined>		2.5									
1.1.1.2	      AWS-A-011049	1	4	PALLET TROLLEY GUIDE	MS - GR250	NATURAL			LASERCUT	FOLDING			FQ		C:\AWS PDM\AWS\007000-014000\	AWS-A-011049	Default		0.3	26/10/2021						4	-	
1.1.1.2.1	        		1	Sheet	MS - GR250												Default		0.3							4		
1.1.1.3	      AWS-A-011052	1	4	CASTOR PLATE	MS - GR250	NATURAL			LASERCUT			FQ	FQ		C:\AWS PDM\AWS\007000-014000\	AWS-A-011052	Default		1.2	26/10/2021						4	-	
1.1.1.3.1	        		1	Sheet	MS - GR250												Default		1.2							4		
1.2	  AWS-A-011078	1	4	TROLLEY BUMPER	PE Low/Medium Density	NATURAL			MACHINE			FQ	FQ		C:\AWS PDM\AWS\007000-014000\	AWS-A-011078	Default		0.1	27/10/2021							-	
1.3	  AWS-B-011701	2	1	LH TROLLEY BUMPER CUTLIST WELDED	MS - GR250	ZINC			CUTTING	WELDING		HC	FQ		C:\AWS PDM\AWS\007000-014000\	AWS-B-011701	Default<As Machined>		1.8	07/12/2021							-	
1.3.1	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		0.7									
1.3.2	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		0.7									
1.3.3	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		0.5									
1.4	  AWS-B-011785	1	1	RH TROLLEY BUMPER CUTLIST WELDED	MS - GR250	ZINC			CUTTING	WELDING		HC	FQ		C:\AWS PDM\AWS\007000-014000\	AWS-B-011785	Default<As Machined>		1.8	14/12/2021							-	
1.4.1	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		0.7									
1.4.2	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		0.7									
1.4.3	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		0.5									
1.5	  XXX-X-000621		2	150 SWIVEL CASTOR	Material <not specified>		TREATMENT					DMG			C:\AWS PDM\SmashCad\	XXX-X-000621	Default		4441.05	27/10/2021							-	
1.6	  XXX-X-000620		2	150 CASTOR	Material <not specified>							DMG			C:\AWS PDM\SmashCad\	XXX-X-000620	Default		993.94419744	27/10/2021							-	
