Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	BED&HARDWARE		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	BED&HARDWARE	Default											
1.1	  BED		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	BED	Default<As Machined>											
1.1.1	    		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.2	    		2	PINE - 75x35	Pine												Default<As Machined>											
1.1.3	    		1		Pine												Default<As Machined>											
1.1.4	    		1		Pine												Default<As Machined>											
1.1.5	    		1		Pine												Default<As Machined>											
1.1.6	    		2	PINE - 75x35	Pine												Default<As Machined>											
1.1.7	    		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.8	    		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.9	    		1	25x3 FLAT	5052-H32												Default<As Machined>		0.0									
1.2	  SCREWS		24												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	SCREWS	3 IN											
1.3	  bed insulation		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	bed insulation	Default											
