Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	MAIN ASSEMBLY		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	MAIN ASSEMBLY	closed											
1.1	  BODY		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	BODY	Default											
1.1.1	    BED&HARDWARE		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	BED&HARDWARE	Default											
1.1.1.1	      BED		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	BED	Default<As Machined>											
1.1.1.1.1	        		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.1.1.2	        		2	PINE - 75x35	Pine												Default<As Machined>											
1.1.1.1.3	        		1		Pine												Default<As Machined>											
1.1.1.1.4	        		1		Pine												Default<As Machined>											
1.1.1.1.5	        		1		Pine												Default<As Machined>											
1.1.1.1.6	        		2	PINE - 75x35	Pine												Default<As Machined>											
1.1.1.1.7	        		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.1.1.8	        		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.1.1.9	        		1	25x3 FLAT	5052-H32												Default<As Machined>		0.0									
1.1.1.2	      SCREWS		24												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	SCREWS	3 IN											
1.1.1.3	      bed insulation		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	bed insulation	Default											
1.1.2	    WALLS		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	WALLS	Default<As Machined>											
1.1.2.1	      		1		Pine												Default<As Machined>											
1.1.2.2	      		1		Pine												Default<As Machined>											
1.1.2.3	      		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.2.4	      		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.2.5	      		1	PINE - 140x35	Pine												Default<As Machined>											
1.1.2.6	      		1	PINE - 140x35	Pine												Default<As Machined>											
1.1.2.7	      		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.2.8	      		1		5052-H32												Default<As Machined>											
1.1.2.9	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.2.10	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.2.11	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.2.12	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.2.13	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.2.14	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.2.15	      		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.2.16	      		1		Pine												Default<As Machined>											
1.1.2.17	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.2.18	      		1	25x25x1.60 EA	6060												Default<As Machined>		0.0									
1.1.2.19	      		1	PINE - 90x35	Pine												Default<As Machined>											
1.1.2.20	      		1	PINE - 140x35	Pine												Default<As Machined>											
1.1.2.21	      		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.2.22	      		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.2.23	      		1	25x3 FLAT	5052-H32												Default<As Machined>		0.0									
1.1.2.24	      		1	PINE - 140x35	Pine												Default<As Machined>											
1.1.2.25	      		1	PINE - 75x35	Pine												Default<As Machined>											
1.1.3	    WALLS		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	WALLS	MIRROR<As Machined>											
1.1.3.1	      		1		Pine												MIRROR<As Machined>											
1.1.3.2	      		2		Pine												MIRROR<As Machined>											
1.1.3.3	      		1	PINE - 75x35	Pine												MIRROR<As Machined>											
1.1.3.4	      		1	PINE - 75x35	Pine												MIRROR<As Machined>											
1.1.3.5	      		1	PINE - 140x35	Pine												MIRROR<As Machined>											
1.1.3.6	      		1	PINE - 140x35	Pine												MIRROR<As Machined>											
1.1.3.7	      		1	PINE - 75x35	Pine												MIRROR<As Machined>											
1.1.3.8	      		1		5052-H32												MIRROR<As Machined>											
1.1.3.9	      		1		Polyurethane Foam Flexible												MIRROR<As Machined>											
1.1.3.10	      		1		Polyurethane Foam Flexible												MIRROR<As Machined>											
1.1.3.11	      		1		Polyurethane Foam Flexible												MIRROR<As Machined>											
1.1.3.12	      		1		Polyurethane Foam Flexible												MIRROR<As Machined>											
1.1.3.13	      		1		Polyurethane Foam Flexible												MIRROR<As Machined>											
1.1.3.14	      		1		Polyurethane Foam Flexible												MIRROR<As Machined>											
1.1.3.15	      		1	PINE - 75x35	Pine												MIRROR<As Machined>											
1.1.3.16	      		1		Pine												MIRROR<As Machined>											
1.1.3.17	      		1		Pine												MIRROR<As Machined>											
1.1.3.18	      		1	PINE - 90x35	Pine												MIRROR<As Machined>											
1.1.3.19	      		1	PINE - 140x35	Pine												MIRROR<As Machined>											
