ITEM NO.	PART NUMBER	Revision	QTY.
1	PM1-00312-001	1	1
1.1	  PM1-01137-001		1
1.1.1	    PM1-01138-001		1
1.1.1.1	      		1
1.1.2	    PM1-01139-001		2
1.1.3	    PM1-01140-001		1
1.1.4	    PHW-00116-002	1	10
1.2	  PM1-01121-001		1
1.2.1	    PM1-01119-001		1
1.2.1.1	      PM1-00281-001	1	1
1.2.2	    PHW-00014-004	2	3
1.2.3	    PM1-00279-001	1	1
1.2.4	    PM1-00284-001	1	1
1.2.5	    PM1-01122-001		1
1.2.6	    PM1-00272-001	1	1
1.2.6.1	      		1
1.2.7	    PHW-00128-001		1
1.2.8	    PM1-01123-001		1
1.2.9	    PM1-01131-001	1	1
1.3	  PM1-01125-001		1
1.3.1	    PM1-00274-001	1	1
1.3.2	    PM1-01124-001		1
1.3.2.1	      PM1-00275-001	1	1
1.3.3	    PM1-00284-001	1	1
1.3.4	    PHW-00014-004	2	2
1.3.5	    PM1-00272-001	1	1
1.3.5.1	      		1
1.3.6	    PHW-00014-003	2	1
1.3.7	    PM1-01122-001		1
1.3.8	    PHW-00128-001		1
1.3.9	    PM1-01123-001		1
1.3.10	    PM1-01131-001	1	1
1.4	  PM1-01130-001		1
1.5	  PM1-00272-001	1	2
1.5.1	    		1
1.6	  PM1-00287-001	1	1
1.7	  PM1-00282-001	1	1
1.7.1	    		1
1.8	  PM1-00288-001	1	1
1.8.1	    		1
1.9	  PM1-00293-001	1	2
1.10	  PM1-01141-001		2
1.11	  402-PHW-0121	1	10
1.12	  PM1-01129-001	2	1
1.13	  TO ALLOCATE		4
1.14	  402-PHW-0080	1	4
1.15	  PHW-00128-004		4
1.16	  PHW-00151-001	1	2
