Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	TMRP-011064	1	1	PALLET TROLLEY	Material <not specified>	NATURAL			ASSEMBLY						\\192.168.5.10\TinyMRP\trolley only\	TMRP-011064	Default		82062.58	26/10/2021							-	
1.1	  TMRP-011053	1	1	PALLET BODY PAINTED	AS PER BOM	POWDERCOAT		SAFETY YELLOW - GLOSS: 241,190,36	PAINT			FQ	FQ		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011053	Default		47388.01	26/10/2021							-	
1.1.1	    TMRP-011051	1	1	PALLET TROLLEY BODY	AS PER BOM	NATURAL			WELDING			FQ	 		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011051	Default		47388.01	26/10/2021							-	
1.1.1.1	      TMRP-011048	1	1	TROLLEY FRAME	MS - GR250	NATURAL			CUTTING	WELDING		FQ	FQ		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011048	Default<As Machined>		41192.33	26/10/2021							-	
1.1.1.1.1	        		8	40x40x2 SHS	AS 1163-C350LO												Default<As Machined>		2623.06									
1.1.1.1.2	        		4	40x40x2 SHS	AS 1163-C350LO												Default<As Machined>		2531.39									
1.1.1.1.3	        		4	40x40x4 SHS	AS 1163-C350LO												Default<As Machined>		1869.57									
1.1.1.1.4	        		4	DIA 20 RB	BHP - 300 PLUS												Default<As Machined>		650.99									
1.1.1.2	      TMRP-011049	1	4	PALLET TROLLEY GUIDE	MS - GR250	NATURAL			LASERCUT	FOLDING			FQ		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011049	Default		323.26	26/10/2021						4	-	
1.1.1.2.1	        		1	Sheet	MS - GR250												Default		323.26							4		
1.1.1.3	      TMRP-011052	1	4	CASTOR PLATE	MS - GR250	NATURAL			LASERCUT			FQ	FQ		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011052	Default		1225.66	26/10/2021						4	-	
1.1.1.3.1	        		1	Sheet	MS - GR250												Default		1225.66							4		
1.2	  TMRP-011078	1	4	TROLLEY BUMPER	PE Low/Medium Density	NATURAL			MACHINE			FQ	FQ		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011078	Default		77.75	27/10/2021							-	
1.3	  TMRP-011701	2	1	LH TROLLEY BUMPER CUTLIST WELDED	MS - GR250	ZINC			CUTTING	WELDING		HC	FQ		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011701	Default<As Machined>		1844.29	07/12/2021							-	
1.3.1	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		668.01									
1.3.2	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		674.90									
1.3.3	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		501.38									
1.4	  TMRP-011785	1	1	RH TROLLEY BUMPER CUTLIST WELDED	MS - GR250	ZINC			CUTTING	WELDING		HC	FQ		\\192.168.5.10\TinyMRP\trolley only\	TMRP-011785	Default<As Machined>		1844.29	14/12/2021							-	
1.4.1	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		668.01									
1.4.2	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		674.90									
1.4.3	    		1	50x50x5 EA	BHP - 300 PLUS												Default<As Machined>		501.38									
1.5	  TMRP-000621		2	150 SWIVEL CASTOR	Material <not specified>		TREATMENT					DMG			\\192.168.5.10\TinyMRP\trolley only\	TMRP-000621	Default		4441.05	27/10/2021							-	
1.6	  TMRP-000620		2	150 CASTOR	Material <not specified>							DMG			\\192.168.5.10\TinyMRP\trolley only\	TMRP-000620	Default		993.94419745	27/10/2021							-	
